Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_CG iterations: 91
80.9086
80.7332
80.6314
80.8101
80.8073
80.7436
80.4628
80.7
80.8565
80.7926
