Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,512,512,512,3609741304,CG,vanilla_version_CG iterations: 332
55708.1
55685.1
55706
55686.6
55708.1
55686.5
55709.9
55685.1
55709.4
55690.2
