Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 41
1340.34
1339.95
1340.18
1339.89
1339.85
1340.22
1339.34
1340.79
1339.71
1339.98
