Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,256,256,256,449455096,MG,vanilla_version_CG iterations: 177
20.1778
20.1004
20.1294
20.0884
20.1393
20.1499
20.1324
20.1108
20.1174
20.1188
