Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,512,512,512,3609741304,SymGS,vanilla_version_normi/norm0: 0.875788
944.868
935.854
981.143
936.499
934.828
934.59
934.905
934.406
935.029
934.403
