Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 48
1.70842
1.69005
1.70432
1.68858
1.71478
1.68819
1.69107
1.69018
1.684
1.67869
