Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_CG iterations: 159
917.039
917.015
916.37
917.048
916.76
916.697
916.987
916.812
917.46
916.428
