Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 44
4.2617
4.24355
4.24739
4.23152
4.21709
4.22906
4.25635
4.22214
4.24637
4.22867
