Striped Box coloring (coloringBox: 3x3x3) (coop_num: 4),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_RR Norm: 0.0538694
2.65408
2.65366
2.63894
2.6449
2.6415
2.6559
2.64058
2.64963
2.64387
2.63789
