Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version
8.84486
8.85341
8.86342
8.86061
8.86957
8.86922
8.83318
8.82358
8.8641
8.80563
