Banded Warp Reduction (x=0.5),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version
3780.29
3751.23
3751.48
3751.2
3750.88
3750.63
3750.71
3750.8
3750.87
3750.89
