Banded Warp Reduction (x=0.5),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version
1887.18
1871.12
1871.22
1871.2
1871.07
1871.07
1871.06
1871.04
1870.9
1870.98
