Banded Preprocessed (x=0.5),41-44,3d_27pt,128,64,64,13790200,SymGS,SymGS cooperation number = 16
1375.11
1362.44
1362.3
1362.38
1362.41
1362.53
1362.61
1362.33
1362.36
1362.5
