Banded Preprocessed (x=0.5),41-44,3d_27pt,32,32,32,830584,SymGS,SymGS cooperation number = 16
81.97
81.983
81.9441
82.0025
82.0648
82.0584
81.9731
81.9993
81.9819
81.9982
