Banded Preprocessed (x=0.5),41-44,3d_27pt,128,128,64,27725560,SymGS,SymGS cooperation number = 16
2752.92
2725.12
2725.17
2725.47
2725.08
2724.98
2724.98
2724.91
2724.7
2724.81
