Banded Preprocessed (x=0.5),41-44,3d_27pt,128,128,128,55742968,SymGS,SymGS cooperation number = 16
5471.95
5450.9
5451.18
5450.91
5450.59
5450.54
5450.53
5450.62
5450.29
5450.16
