Banded Preprocessed (x=0.5),41-44,3d_27pt,16,16,16,97336,SymGS,SymGS cooperation number = 16
9.23955
9.22419
9.22317
9.22317
9.22214
9.22317
9.22317
9.22419
9.22419
9.22317
