Banded Preprocessed (x=0.5),41-44,3d_27pt,8,8,8,10648,SymGS,SymGS cooperation number = 16
1.20934
1.1817
1.18067
1.18083
1.18067
1.1817
1.18067
1.18067
1.1817
1.18067
