Banded Warp Reduction (pre-compute diag_offset),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version
5346.75
5344.61
5345.17
5373.04
5372.99
5373.03
5373.08
5373.14
5373.09
5372.99
