Banded Warp Reduction (pre-compute diag_offset),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version
10.2523
10.1622
10.1632
10.1632
10.1652
10.1642
10.1652
10.1663
10.1653
10.1663
