Banded Warp Reduction (pre-compute diag_offset),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version
1.24518
1.22678
1.22675
1.22675
1.22675
1.22675
1.22675
1.22675
1.22675
1.22573
