Banded Warp Reduction (pre-compute diag_offset),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version
75.5316
74.4334
74.4544
74.4134
74.4567
74.4374
74.4689
74.4217
74.4386
74.4448
