Striped Warp Reduction (1x physical cores occupied),41-44,3d_27pt,128,128,64,1048576,Dot,vanilla_version
0.06192
0.060416
0.060416
0.062464
0.059392
0.05952
0.060416
0.060416
0.060416
0.062464
