Striped Warp Reduction (1x physical cores occupied),41-44,3d_27pt,64,64,64,262144,Dot,vanilla_version
0.034656
0.032768
0.031744
0.031744
0.03072
0.031744
0.03072
0.031744
0.031744
0.031744
