Striped Warp Reduction (1x physical cores occupied),41-44,3d_27pt,128,64,64,524288,Dot,vanilla_version
0.046976
0.043008
0.043008
0.04288
0.041984
0.041984
0.041984
0.042016
0.04208
0.041984
