Striped Warp Reduction (2x physical cores occupied),41-44,3d_27pt,64,64,64,262144,Dot,vanilla_version
0.030816
0.028672
0.027648
0.028672
0.028672
0.027648
0.028672
0.027648
0.027648
0.02768
