Striped Warp Reduction (2x physical cores occupied),41-44,3d_27pt,128,64,64,524288,Dot,vanilla_version
0.0384
0.035936
0.036864
0.03584
0.03584
0.035904
0.038912
0.03584
0.034816
0.03584
