Striped Warp Reduction (2x physical cores occupied),41-44,3d_27pt,256,128,128,4194304,Dot,vanilla_version
0.112448
0.110592
0.10976
0.109568
0.110592
0.109568
0.114688
0.110656
0.109568
0.110432
