Striped Warp Reduction (2x physical cores occupied),41-44,3d_27pt,256,256,128,8388608,Dot,vanilla_version
0.198816
0.197632
0.195584
0.19456
0.195584
0.195584
0.195584
0.195584
0.195584
0.19456
