Striped Warp Reduction (2x physical cores occupied),41-44,3d_27pt,8,8,8,512,Dot,vanilla_version
0.013536
0.011328
0.011136
0.011264
0.011264
0.0112
0.011136
0.01024
0.01024
0.011264
