Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,CG,vanilla_version
6074.8
6062.37
6064.77
6081.93
6062.52
6082.81
6065.42
6075.34
6066.98
6064.73
