Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,CG,vanilla_version
6814.1
6836.02
6838.2
6822.07
6828.1
6831.06
6826.64
6831.04
6826.71
6823.75
