Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_normi/norm0: 0.292314
9.59187
9.60022
9.5849
9.55706
9.5337
9.57405
9.56861
9.55731
9.49674
9.56637
