Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version
20.9724
20.86
21.0502
20.8788
21.02
20.879
21.002
20.9759
21.0333
20.9556
