Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,CG,vanilla_version
125.453
125.317
125.233
125.164
125.251
125.269
125.468
125.314
125.246
125.231
