Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version
4.31363
4.26656
4.26912
4.21952
4.21437
4.21526
4.2247
4.23123
4.18944
4.24285
