Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,128,128,128,55742968,MG,vanilla_version
3.84922
3.84218
3.85318
3.856
3.83376
3.83453
3.85504
3.82979
3.80877
3.81008
