Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version
1100.92
1100.1
1100.32
1099.96
1101.19
1101.25
1100.99
1101.13
1101.1
1101.24
