Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,MG,vanilla_version
7.20099
7.2096
7.18432
7.16589
7.15846
7.16787
7.13853
7.16234
7.14362
7.1153
