Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,MG,vanilla_version
30.6816
30.4323
30.3201
30.2172
30.3633
30.3376
30.3314
30.3192
30.3052
30.2955
