Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version
1099.85
1100.68
1099.73
1101
1101.02
1100.36
1100.9
1100.99
1100.48
1100.01
