Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,SymGS,vanilla_version_normi/norm0: 0.131496
6.17766
6.1647
6.15501
6.14547
6.12554
6.15133
6.11338
6.14
6.1113
6.14797
