Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version
8.86957
8.87418
8.86717
8.82355
8.82864
8.86758
8.86192
8.8815
8.90474
8.87267
