Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version
20.8434
20.7795
20.7996
20.8607
20.7876
20.7886
20.856
20.783
20.7705
20.8176
