Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version
5.27754
5.27766
5.21907
5.21267
5.20803
5.19357
5.21853
5.21843
5.19706
5.23526
