Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version
95.595
95.6196
95.6852
95.5659
95.4868
95.5229
95.582
95.6111
95.4829
95.5758
