Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,CG,vanilla_version
260.904
260.747
260.425
260.658
260.571
260.697
260.698
260.424
260.488
260.609
