Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version
3.81206
3.81875
3.82246
3.75946
3.79171
3.74042
3.79539
3.80525
3.79309
3.77043
