Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version
4.86586
4.8281
4.89072
4.8495
4.83661
4.80275
4.83056
4.83226
4.83056
4.83501
