Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 177
4980.74
4985.16
4988.75
4987.93
4988.51
4986.28
4986.93
4988.83
4988.11
4988.33
