Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version_CG iterations: 295
529.014
526.566
524.642
524.691
524.583
524.421
524.823
524.537
524.987
524.723
