Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 159
5166.63
5166.16
5168.12
5167.5
5167.32
5167.49
5168.19
5171.69
5166.46
5166.57
