Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,512,512,512,3609741304,CG,vanilla_version_CG iterations: 332
68074.3
68305.1
68303.9
68303
68290.3
68284.1
68267.2
68284.2
68275.8
68294.2
