Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,32,32,32,830584,SymGS,vanilla_version_normi/norm0: 0.14711
2.38797
2.35949
2.34602
2.3447
2.34784
2.34509
2.34762
2.34829
2.35907
2.33184
