Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version_CG iterations: 26
1.23776
1.20973
1.20416
1.21293
1.23702
1.20442
1.21386
1.22045
1.20458
1.21411
