Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_CG iterations: 332
13859.8
13862.3
13863.9
13865.8
13863.7
13866.8
13863
13871
13862.9
13864.7
