Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 44
4.2896
4.29418
4.25318
4.24294
4.2233
4.21885
4.21558
4.21888
4.23917
4.21821
