Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,512,512,512,3609741304,CG,vanilla_version_CG iterations: 332
56113.9
56100.3
56132.3
56118.4
56166.3
56144
56168.7
56144.3
56165.9
56132.7
