Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,512,512,512,3609741304,SymGS,vanilla_version_normi/norm0: 0.875788
931.797
940.984
932.527
935.371
938.591
935.469
936.044
935.22
935.504
935.863
