Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,512,512,512,3609741304,SymGS,vanilla_version_normi/norm0: 0.805915
1004.89
1094.36
1005.72
1006.08
1006.2
1005.63
1005.38
1003.49
1004.09
1004.87
