Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 26
7.56282
7.5439
7.55907
7.5416
7.56467
7.5399
7.5631
7.54755
7.56006
7.5415
