Striped coloring (pre-computing COR Format),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24
7.55466
7.56205
7.57306
7.5289
7.5513
7.50742
7.5392
7.53587
7.53014
7.53622
