Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 83
628.676
628.119
628.086
629.227
627.895
627.998
628.083
627.705
627.846
627.767
