Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_CG iterations: 48
18.0027
17.91
17.7831
17.8849
17.8892
17.9955
17.8635
17.8036
17.8834
17.8996
